"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.893043910E-1,9.265713692E-1,2.334728241E-1,4.151973724E-1,1.041841120E0
2.941534020E-1,1.000159264E0,1.954600811E-1,6.349048615E-1,1.200677883E0
2.990024640E-1,9.355685711E-1,1.023821831E-1,8.831434250E-1,1.290625031E0
3.038514740E-1,6.907775402E-1,7.117033005E-3,1.006513596E0,1.220775934E0
3.087004850E-1,8.317414522E-1,-1.936436892E-1,1.002307892E0,1.316781239E0
3.135494950E-1,8.158924580E-1,-2.908300161E-1,8.889541626E-1,1.241169652E0
3.183985060E-1,6.791789532E-1,-3.521349430E-1,7.553663254E-1,1.075109926E0
3.232475160E-1,5.186913013E-1,-3.241475821E-1,5.125951767E-1,7.980389315E-1
3.280965270E-1,3.667759895E-1,-2.510037422E-1,3.159303665E-1,5.452884572E-1
3.329455890E-1,1.680400372E-1,-1.785542965E-1,1.486949921E-1,2.867565022E-1
3.377945990E-1,-4.269790649E-2,-6.244611740E-2,2.513217926E-2,7.971358248E-2
3.426436100E-1,-3.468708992E-1,2.309966087E-2,-7.372283936E-2,3.553703309E-1
3.474926200E-1,-1.385797977E0,1.435298920E-1,-1.755332947E-2,1.393321565E0
3.523416310E-1,-1.102961063E0,1.373381615E-1,2.276926041E-1,1.134561060E0
3.571906410E-1,-5.012054443E-1,1.050293446E-1,3.361310959E-1,6.125538134E-1
3.620396520E-1,-3.285565376E-1,8.460640907E-2,4.289913177E-1,5.469380162E-1
3.668887140E-1,-1.490881443E0,2.593452930E-1,4.900627136E-1,1.590644184E0
3.717377240E-1,-1.273872852E0,3.336529732E-1,5.274009705E-1,1.418530273E0
3.765867350E-1,-1.253881931E0,3.274104595E-1,5.959224701E-1,1.426373407E0
3.814357450E-1,-1.313844681E0,2.247927189E-1,7.208662033E-1,1.515377080E0
3.862847560E-1,-1.306728363E0,1.166682243E-1,7.715234756E-1,1.521972064E0
3.911337660E-1,-1.204653263E0,3.374195099E-2,8.010978699E-1,1.447095643E0
3.959828290E-1,-1.003866196E0,-5.015230179E-2,8.076381683E-1,1.289395984E0
4.008318390E-1,-3.592338562E-1,-1.010370255E-1,8.048343658E-1,8.871391099E-1
4.056808490E-1,5.422115326E-3,-1.347620487E-1,7.522802353E-1,7.642746637E-1
4.105298600E-1,5.976867676E-1,-1.967525482E-1,5.557193756E-1,8.395028659E-1
4.153788700E-1,1.414436340E0,-1.971144676E-1,3.104019165E-1,1.461449152E0
4.202278810E-1,1.844526291E0,-1.209683418E-1,-8.144378662E-4,1.848488907E0
4.250768910E-1,2.142451048E0,-5.772495270E-2,-4.089899063E-1,2.181903162E0
4.299259540E-1,2.162205219E0,7.505893707E-3,-8.099088669E-1,2.308926184E0
4.347749640E-1,1.785525084E0,1.762938499E-2,-1.069404602E0,2.081354564E0
4.396239740E-1,1.237948418E0,-4.275560379E-3,-1.047667027E0,1.621770873E0
4.444729850E-1,7.100682259E-1,-1.201844215E-2,-9.158053398E-1,1.158896349E0
4.493219950E-1,4.724502563E-2,2.845525742E-2,-7.870512009E-1,7.889812336E-1
4.541710060E-1,-3.908438683E-1,1.632764339E-1,-8.624548912E-1,9.608572020E-1
4.590200680E-1,-4.619240761E-1,2.656240463E-1,-9.317789078E-1,1.073378740E0
4.638690790E-1,-2.940707207E-1,3.166294098E-1,-8.613171577E-1,9.636384271E-1
4.687180890E-1,-1.431131363E-1,2.500874996E-1,-7.113475800E-1,7.674897437E-1
4.735670990E-1,-1.912980080E-1,1.756141186E-1,-4.397015572E-1,5.106590897E-1
4.784161100E-1,-2.920050621E-1,3.843975067E-2,-1.702284813E-1,3.401798151E-1
4.832651200E-1,-5.476818085E-1,-1.284062862E-1,2.313880920E-1,6.082630901E-1
4.881141830E-1,-2.341726780E0,-1.481413841E-1,6.158947945E-1,2.425892945E0
4.929631930E-1,-1.487708569E0,-3.063642979E-1,3.107104301E-1,1.550379579E0
4.978122040E-1,-5.707159042E-1,-6.485756636E-1,4.952096939E-2,8.653434931E-1
5.026612140E-1,4.192433357E-1,-7.564282417E-1,3.139925003E-2,8.654100602E-1
5.075102240E-1,8.243312836E-1,-6.791369915E-1,2.052011490E-1,1.087592125E0
5.123592350E-1,6.847333908E-1,-4.307787418E-1,4.683961868E-1,9.347861406E-1
5.172082450E-1,4.851956367E-1,-1.840476990E-1,6.074986458E-1,7.989636826E-1
5.220573080E-1,1.271214485E-1,1.080355644E-1,5.432639122E-1,5.683020536E-1
5.269063180E-1,-3.294796944E-1,-1.239752769E-2,-6.406388283E-1,7.205058473E-1
5.317553290E-1,-6.681437492E-1,1.841683388E-1,-9.354863167E-1,1.164245977E0
5.366043390E-1,-1.038118839E0,6.900768280E-1,-1.260985851E0,1.773127765E0
5.414533490E-1,-9.440336227E-1,1.240267277E0,-1.473456860E0,2.144886364E0
5.463024120E-1,-8.123626709E-1,1.543587208E0,-1.224744320E0,2.131336019E0
5.511514220E-1,-5.658626556E-1,1.510013580E0,-8.033161163E-1,1.801571076E0
5.560004330E-1,-1.280345917E-1,1.125408888E0,-2.881560326E-1,1.168748014E0
5.608494430E-1,-5.216197968E-1,8.322460651E-1,3.903474808E-1,1.056925674E0
