"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.306603750E-1,-4.410620840E0,5.690262351E0,4.849704051E-1,7.215806131E0
6.406143750E-1,-3.736817529E0,6.132689584E0,1.287170970E0,7.295923238E0
6.505683750E-1,-3.031497141E0,6.539087445E0,2.778775803E0,7.724715819E0
6.605223750E-1,-2.380114394E0,6.876254271E0,4.082542341E0,8.343558551E0
6.704763750E-1,-2.195304957E0,7.196268291E0,4.619037241E0,8.828428297E0
6.804303750E-1,-2.405996509E0,7.148961393E0,4.033535657E0,8.553705518E0
6.903843750E-1,-2.583297536E0,7.098233873E0,3.106553171E0,8.167559175E0
7.003383750E-1,-2.612802587E0,7.287261491E0,2.414227635E0,8.109217747E0
7.102891250E-1,-2.670204703E0,7.601513080E0,1.648669085E0,8.223813228E0
7.202431250E-1,-2.732429017E0,8.181677325E0,9.834722905E-1,8.681775736E0
7.301971250E-1,-2.606300483E0,8.745965211E0,8.142576702E-1,9.162299123E0
7.401511250E-1,-2.397718606E0,9.135767503E0,9.377821474E-1,9.491614075E0
7.501051250E-1,-2.048456229E0,9.171126201E0,1.337881533E0,9.491873141E0
7.600601250E-1,-2.203647764E0,8.987946383E0,1.869888110E0,9.441171813E0
7.700141250E-1,-2.522104086E0,8.934713917E0,2.174674226E0,9.535162808E0
7.799681250E-1,-2.066322396E0,8.227333555E0,1.744355407E0,8.660339569E0
7.899221250E-1,-4.004009557E-1,6.780144757E0,9.296978601E-1,6.855291530E0
7.998761250E-1,1.911531395E0,4.301221189E0,5.436046757E-2,4.707165926E0
8.098301250E-1,4.020713298E0,9.275625300E-1,-7.111266732E-1,4.187148053E0
8.197841250E-1,5.615966460E0,-2.539234089E0,-1.396294633E0,6.319527493E0
8.297381250E-1,5.827792372E0,-5.253561296E0,-1.551059321E0,7.998053215E0
8.396921250E-1,5.363176124E0,-6.205526596E0,-1.949530111E0,8.430473659E0
8.496461250E-1,6.545722865E0,-5.974959188E0,-2.609856175E0,9.238937946E0
8.596001250E-1,8.507697020E0,-6.859870958E0,-2.828372471E0,1.128886305E1
8.695541250E-1,1.118233801E1,-8.589525295E0,-2.251427702E0,1.427913004E1
8.795081250E-1,1.249884212E1,-9.527530367E0,-1.942859023E0,1.583570618E1
8.894621250E-1,1.273851013E1,-9.993989657E0,-2.173503029E0,1.633626595E1
8.994161250E-1,1.259463705E1,-1.088841835E1,-1.964962083E0,1.676435542E1
9.093701250E-1,1.215568540E1,-1.239560953E1,-1.167476200E0,1.740042597E1
9.193241250E-1,1.104133942E1,-1.425056969E1,-1.499554268E-1,1.802810027E1
9.292781250E-1,9.836387315E0,-1.577371558E1,9.180029903E-1,1.861202160E1
9.392321250E-1,9.064820897E0,-1.634002660E1,1.653035932E0,1.875899717E1
9.491861250E-1,8.491102622E0,-1.599777153E1,1.659832735E0,1.818742869E1
9.591401250E-1,7.574514731E0,-1.505439345E1,8.367359751E-1,1.687329732E1
9.690951250E-1,6.624400660E0,-1.380481306E1,-1.104363620E-1,1.531233959E1
9.790491250E-1,5.703862975E0,-1.277510902E1,-2.698723912E-1,1.399322316E1
9.890031250E-1,4.215855934E0,-1.044297747E1,9.474161661E-1,1.130162895E1
9.989571250E-1,2.597232036E0,-7.553061882E0,1.970442678E0,8.226603332E0
1.008911125E0,2.326525247E-1,-3.459245524E0,2.514837166E0,4.283096166E0
1.018865125E0,5.306172788E-2,-1.781228533E0,2.823868361E0,3.339135091E0
1.028819125E0,4.602267426E-1,-5.747561556E-1,3.255550750E0,3.337778300E0
1.038773125E0,7.864411497E-1,3.359289712E-1,3.760145581E0,3.856168143E0
1.048727125E0,-6.741442037E-1,3.180511093E0,4.033155588E0,5.180392381E0
1.058681125E0,-4.771281195E0,8.047610026E0,3.659657671E0,1.004600645E1
1.068635125E0,-5.594318313E0,8.591651927E0,1.951811110E0,1.043659172E1
1.078589125E0,-6.428697860E0,8.383318557E0,-4.597197890E-2,1.056457759E1
1.088543125E0,-7.451546032E0,8.177457390E0,-8.848685002E-1,1.109861883E1
1.098497125E0,-7.440380189E0,7.540041302E0,-1.192254215E0,1.065987572E1
1.108451125E0,-7.178712611E0,6.783915042E0,-1.389788436E0,9.974313507E0
1.118405125E0,-6.992313901E0,6.242727751E0,-1.452451876E0,9.485447797E0
1.128359125E0,-7.050104856E0,5.667896166E0,-1.343492667E0,9.145162546E0
1.138313125E0,-7.090986249E0,5.365636632E0,-9.475227316E-1,8.942591447E0
1.148267125E0,-6.598821430E0,4.956797560E0,-1.392935407E-1,8.254313358E0
1.158221125E0,-5.923832304E0,4.738905746E0,1.114810256E0,7.667582327E0
1.168175125E0,-5.329475697E0,5.159662614E0,2.239874189E0,7.748707368E0
1.178129125E0,-4.931503090E0,5.778447134E0,3.082163265E0,8.198164697E0
1.188083125E0,-4.729497576E0,6.395174603E0,3.480477934E0,8.682173241E0
1.198037125E0,-4.520654914E0,6.946541312E0,3.275635936E0,8.911820680E0
1.207992125E0,-4.482450376E0,7.502458323E0,2.684406420E0,9.142498570E0
1.217946125E0,-4.893870410E0,7.981182148E0,1.708999633E0,9.516822779E0
1.227900125E0,-5.392952485E0,8.082829560E0,1.042193685E0,9.772524642E0
1.237854125E0,-5.923974976E0,7.844080144E0,9.551075935E-1,9.875996321E0
1.247808125E0,-6.561472340E0,7.539674681E0,1.277605949E0,1.007630342E1
1.257762125E0,-7.067814319E0,7.453675003E0,1.656912636E0,1.040464463E1
1.267716125E0,-7.313157640E0,7.369923579E0,1.920275760E0,1.055866977E1
1.277670125E0,-7.432046737E0,7.142673297E0,2.120199226E0,1.052370397E1
1.287624125E0,-7.344036201E0,6.866881185E0,2.252697279E0,1.030357074E1
1.297578125E0,-7.140691091E0,6.671246797E0,2.182975226E0,1.001301073E1
1.307532125E0,-6.876844840E0,6.520975694E0,1.935284686E0,9.672613182E0
1.317486125E0,-6.145392660E0,5.979786649E0,1.623331053E0,8.726906842E0
1.327440125E0,-4.795360029E0,5.317641517E0,1.235340081E0,7.266282008E0
1.337394125E0,-3.051258391E0,4.113248994E0,5.447196666E-1,5.150312085E0
1.347348125E0,-1.111631709E0,1.896924466E0,-2.357256751E-1,2.211247178E0
1.357302125E0,1.362921649E0,-1.271873485E0,-7.095432472E-1,1.994660172E0
1.367256125E0,3.671971323E0,-4.597694319E0,-8.956015031E-1,5.951829004E0
1.377210125E0,3.990418873E0,-6.513037514E0,-3.385338327E-1,7.645763899E0
1.387164125E0,4.996943373E0,-7.988689388E0,2.402025227E-1,9.425831447E0
1.397118125E0,7.848360305E0,-9.632786681E0,5.100982296E-1,1.243573636E1
1.407072125E0,1.172587997E1,-1.211179386E1,8.576801900E-1,1.687979345E1
1.417026125E0,1.431324717E1,-1.406817399E1,8.088921920E-1,2.008573799E1
1.426980125E0,1.416156104E1,-1.488842374E1,1.984357882E-1,2.054882841E1
1.436934125E0,1.367857050E1,-1.576494475E1,-5.800671816E-2,2.087199413E1
1.446889125E0,1.351688680E1,-1.693571403E1,2.982196927E-1,2.167056930E1
1.456843125E0,1.314442150E1,-1.803518353E1,5.381321204E-1,2.232337895E1
1.466797125E0,1.241295821E1,-1.844438221E1,3.185247338E-1,2.223461771E1
1.476751125E0,1.170844825E1,-1.800998320E1,-3.262676167E-1,2.148380101E1
1.486705125E0,1.071847605E1,-1.669938595E1,-1.079624124E0,1.987261453E1
1.496659125E0,9.567562160E0,-1.457420840E1,-1.816724056E0,1.752844210E1
1.506613125E0,8.209031185E0,-1.202725716E1,-2.707087770E0,1.481119279E1
1.516567125E0,6.870107093E0,-9.406809338E0,-3.711257011E0,1.222537779E1
1.526521125E0,5.662216766E0,-6.962483745E0,-4.332776273E0,9.965431694E0
1.536475125E0,4.820891896E0,-4.397509629E0,-4.293095899E0,7.810874599E0
1.546429125E0,3.890829096E0,-1.501267356E0,-4.023291335E0,5.794758658E0
1.556383125E0,2.707699973E0,1.305544676E0,-3.693173912E0,4.761892438E0
1.566337125E0,1.330473695E0,3.658306965E0,-3.341334082E0,5.130095862E0
1.576291125E0,1.836294687E-1,5.395741607E0,-2.582566634E0,5.984763796E0
1.586245125E0,-7.432097608E-1,6.765129107E0,-1.336816170E0,6.935878463E0
1.596199125E0,-1.755283268E0,8.116457482E0,-4.803999290E-3,8.304090828E0
1.606153125E0,-2.708371233E0,9.339080454E0,9.437148786E-1,9.769559675E0
