"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.198509583E-1,-9.737767299E-1,6.719251122E-1,8.267506850E-1,1.443343747E0
6.298779583E-1,-8.966216961E-1,5.929602921E-1,6.251497990E-1,1.243521067E0
6.399049583E-1,-6.188642614E-1,3.987954564E-1,4.176707071E-1,8.464511857E-1
6.499309583E-1,-3.597217302E-1,8.106945232E-2,1.444496155E-1,3.960273610E-1
6.599579584E-1,-2.027719371E-1,-1.165070875E-1,3.055111706E-2,2.358468373E-1
6.699849583E-1,-1.985286127E-1,3.379763737E-2,-6.570925534E-2,2.118338891E-1
6.800119583E-1,-1.594883618E-1,1.482791032E-1,-4.084981799E-1,4.629189918E-1
6.900379584E-1,-1.888945940E-1,3.106201753E-2,-6.600097293E-1,6.872109278E-1
7.000649583E-1,-1.896818851E-1,-1.019215004E-1,-7.841952342E-1,8.132216027E-1
7.100919583E-1,6.887906749E-2,-1.503743067E-2,-7.051391244E-1,7.086548067E-1
7.201179583E-1,5.461470450E-1,1.466679760E-1,-6.866379493E-1,8.895278318E-1
7.301449583E-1,8.934043387E-1,1.898786804E-1,-3.342408800E-1,9.725955951E-1
7.401719583E-1,9.766488091E-1,1.073406268E-1,8.817191899E-2,9.864781770E-1
7.501979583E-1,1.414835861E0,-1.477975850E-1,2.258913893E-1,1.440358136E0
7.602249583E-1,1.671996405E0,-3.337182120E-1,3.684529388E-1,1.744332936E0
7.702519583E-1,1.624878665E0,-4.036696954E-1,4.655097020E-1,1.737779957E0
7.802779583E-1,1.341383138E0,-7.504828200E-2,6.488169891E-1,1.491946531E0
7.903049584E-1,6.736111569E-1,3.278664648E-1,9.736087686E-1,1.228479729E0
8.003319583E-1,-1.339571524E-1,7.173418980E-1,1.275805153E0,1.469762806E0
8.103579583E-1,-5.877474993E-1,9.596739766E-1,1.389541683E0,1.788084828E0
8.203849584E-1,-5.038596891E-1,9.734670467E-1,1.240140061E0,1.655131429E0
8.304119583E-1,-2.243237507E-1,7.155268492E-1,1.245445240E0,1.453765339E0
8.404389583E-1,-5.952977166E-3,4.459479882E-1,1.068998491E0,1.158301696E0
8.504649583E-1,-2.324363239E-1,4.518515564E-1,1.126283662E0,1.235601619E0
8.604919583E-1,-6.765283328E-1,5.557769707E-1,1.436701816E0,1.682465671E0
8.705189583E-1,-8.077716462E-1,7.206926449E-1,1.455542715E0,1.813972854E0
8.805449583E-1,-4.553460717E-1,7.384786324E-1,1.295777487E0,1.559400536E0
8.905719584E-1,-1.172068530E-1,6.246050578E-1,1.463977908E0,1.595963734E0
9.005989583E-1,-1.084382953E-1,7.940681116E-1,1.877336878E0,2.041248830E0
9.106249583E-1,-2.691080140E-1,1.029110540E0,2.037399144E0,2.298365267E0
